crawled_at,metal,category,product,sell_price,buy_price,url
2026-04-08 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2987000,2888000,https://giabac.doji.vn
2026-04-09 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2890000,2792000,https://giabac.doji.vn
2026-04-13 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2909000,2803000,https://giabac.doji.vn
2026-04-14 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3008000,2918000,https://giabac.doji.vn
2026-04-14 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15040000,14590000,https://giabac.doji.vn
2026-04-14 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3008000,2918000,https://giabac.doji.vn
2026-04-14 18:01:27,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15040000,14590000,https://giabac.doji.vn
2026-04-15 09:36:21,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3109000,3016000,https://giabac.doji.vn
2026-04-15 09:36:21,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15545000,15080000,https://giabac.doji.vn
2026-04-15 16:48:43,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3046000,2955000,https://giabac.doji.vn
2026-04-15 16:48:43,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15230000,14775000,https://giabac.doji.vn
2026-04-16 09:06:34,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3114000,3021000,https://giabac.doji.vn
2026-04-16 09:06:34,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15570000,15105000,https://giabac.doji.vn
2026-04-16 15:33:45,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3095000,3002000,https://giabac.doji.vn
2026-04-16 15:33:45,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15475000,15010000,https://giabac.doji.vn
2026-04-17 16:26:59,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3104000,3001000,https://giabac.doji.vn
2026-04-17 16:26:59,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15520000,15005000,https://giabac.doji.vn
2026-04-20 13:13:22,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3108000,3005000,https://giabac.doji.vn
2026-04-20 13:13:22,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15540000,15025000,https://giabac.doji.vn
2026-04-20 14:54:42,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3090000,2988000,https://giabac.doji.vn
2026-04-20 14:54:42,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15450000,14940000,https://giabac.doji.vn
2026-04-21 09:08:52,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3095000,2993000,https://giabac.doji.vn
2026-04-21 09:08:52,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15475000,14965000,https://giabac.doji.vn
2026-04-21 16:08:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3069000,2968000,https://giabac.doji.vn
2026-04-21 16:08:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15345000,14840000,https://giabac.doji.vn
2026-04-22 09:19:05,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3036000,2936000,https://giabac.doji.vn
2026-04-22 09:19:05,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15180000,14680000,https://giabac.doji.vn
2026-04-22 16:27:26,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,3043000,2942000,https://giabac.doji.vn
2026-04-22 16:27:26,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,15215000,14710000,https://giabac.doji.vn
2026-04-23 16:33:41,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2945000,2847000,https://giabac.doji.vn
2026-04-23 16:33:41,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14725000,14235000,https://giabac.doji.vn
2026-04-24 09:27:36,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2921000,2814000,https://giabac.doji.vn
2026-04-24 09:27:36,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14605000,14070000,https://giabac.doji.vn
2026-04-24 15:37:41,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2900000,2793000,https://giabac.doji.vn
2026-04-24 15:37:41,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14500000,13965000,https://giabac.doji.vn
2026-04-24 16:28:50,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2908000,2801000,https://giabac.doji.vn
2026-04-24 16:28:50,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14540000,14005000,https://giabac.doji.vn
2026-04-28 09:13:13,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2935000,2827000,https://giabac.doji.vn
2026-04-28 09:13:13,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14675000,14135000,https://giabac.doji.vn
2026-04-29 09:27:29,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2888000,2782000,https://giabac.doji.vn
2026-04-29 09:27:29,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14440000,13910000,https://giabac.doji.vn
2026-04-30 09:51:42,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2834000,2729000,https://giabac.doji.vn
2026-04-30 09:51:42,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14170000,13645000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2953000,2845000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14765000,14225000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2953000,2845000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14765000,14225000,https://giabac.doji.vn
2026-05-04 09:25:35,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2950000,2842000,https://giabac.doji.vn
2026-05-04 09:25:35,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14750000,14210000,https://giabac.doji.vn
2026-05-04 16:14:46,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2919000,2812000,https://giabac.doji.vn
2026-05-04 16:14:46,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14595000,14060000,https://giabac.doji.vn
2026-05-05 09:54:51,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2865000,2759000,https://giabac.doji.vn
2026-05-05 09:54:51,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14325000,13795000,https://giabac.doji.vn
2026-05-05 16:58:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2887000,2781000,https://giabac.doji.vn
2026-05-05 16:58:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14435000,13905000,https://giabac.doji.vn
2026-05-06 09:34:04,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2929000,2821000,https://giabac.doji.vn
2026-05-06 09:34:04,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14645000,14105000,https://giabac.doji.vn
